Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Recuperar password por parte del usuario,IN-207,10957,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 9:11 PM,21/May/26 9:11 PM,23/May/26 4:36 PM,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00187:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,21/May/26 9:11 PM
[Documentacion] - Metricas del sprint,IN-206,10956,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mariano Decalli,712020:7c5f1332-15fc-4f68-bd69-0aa430c7a5c1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 8:02 PM,21/May/26 8:06 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0017z:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 8:02 PM
[Documentacion] - Generar constancia de No Respuesta por parte del  cliente,IN-205,10955,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mariano Decalli,712020:7c5f1332-15fc-4f68-bd69-0aa430c7a5c1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 8:02 PM,21/May/26 8:05 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0017r:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 8:02 PM
[Documentacion] - Sprint 3,IN-204,10954,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 8:02 PM,21/May/26 8:02 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0017j:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 8:02 PM
[Desarrollo] - ver lo de mauricio de automatizacion y logica (?,IN-203,10953,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 8:02 PM,21/May/26 8:04 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0017b:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 8:02 PM
[Documentacion] - Trazar reglas implementadas con requerimientos reales,IN-202,10952,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:59 PM,21/May/26 7:59 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00173:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 7:59 PM
[Documentacion] - Generar diagrama de flujo BPMN del proceso core,IN-201,10951,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:58 PM,21/May/26 7:58 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0016v:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 7:58 PM
[Documentacion] - Generar documento de reglas de negocio,IN-200,10950,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:57 PM,21/May/26 7:57 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0016n:,Tablero Sprint 9,,,,,,,,,,To Do,21/May/26 7:57 PM
[Documentacion] - Corregir diagrama de actores de negocio,IN-199,10949,Task,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:55 PM,22/May/26 7:00 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0016f:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,22/May/26 7:00 PM
[Infra] - Generar cuenta de Gmail para envio de correos,IN-198,10948,Task,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:53 PM,23/May/26 8:15 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00167:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,23/May/26 8:15 PM
[Test] - Generar test automatizado para actividades,IN-197,10947,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:52 PM,21/May/26 7:52 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015z:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,21/May/26 7:52 PM
[Infra] - Generar script de usuarios de bbdd para cadenas de conexion,IN-196,10946,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:49 PM,21/May/26 7:49 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015r:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,21/May/26 7:49 PM
[Documentacion] - Agregar daily y retro de sprint pasados,IN-195,10945,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,18/May/26 12:40 PM,21/May/26 7:52 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015j:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,18/May/26 12:40 PM
[Jira] - Ajustar tablero,IN-194,10912,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:23 PM,15/May/26 7:23 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015b:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,15/May/26 7:23 PM
